Aeg p;Katse 26;Katse 28;Katse 29;Katse 30
51,52;1,44E+01;1,08E+01;4,21E+00;7,27E+00
51,56;1,44E+01;1,08E+01;4,21E+00;7,27E+00
51,59;1,44E+01;1,08E+01;4,21E+00;7,27E+00
51,63;1,44E+01;1,08E+01;4,21E+00;7,27E+00
51,67;1,44E+01;1,08E+01;4,21E+00;7,27E+00
51,71;1,44E+01;1,08E+01;4,22E+00;7,27E+00
51,75;1,44E+01;1,08E+01;4,22E+00;7,27E+00
51,79;1,44E+01;1,08E+01;4,22E+00;7,27E+00
51,83;1,44E+01;1,08E+01;4,23E+00;7,27E+00
51,87;1,44E+01;1,08E+01;4,23E+00;7,28E+00
51,91;1,44E+01;1,08E+01;4,22E+00;7,28E+00
51,94;1,44E+01;1,08E+01;4,23E+00;7,28E+00
51,98;1,44E+01;1,08E+01;4,23E+00;7,28E+00
52,02;1,44E+01;1,08E+01;4,23E+00;7,28E+00
52,06;1,44E+01;1,08E+01;4,23E+00;7,28E+00
52,10;1,44E+01;1,08E+01;4,23E+00;7,28E+00
52,14;1,44E+01;1,08E+01;4,23E+00;7,28E+00
52,18;1,44E+01;1,08E+01;4,23E+00;7,28E+00
52,22;1,44E+01;1,08E+01;4,23E+00;7,28E+00
52,26;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,29;1,44E+01;1,08E+01;4,23E+00;7,29E+00
52,33;1,44E+01;1,08E+01;4,23E+00;7,29E+00
52,37;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,41;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,45;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,49;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,53;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,57;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,61;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,64;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,68;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,72;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,76;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,80;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,84;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,88;1,44E+01;1,08E+01;4,24E+00;7,30E+00
52,92;1,44E+01;1,08E+01;4,24E+00;7,30E+00
52,96;1,44E+01;1,08E+01;4,23E+00;7,30E+00
52,99;1,44E+01;1,08E+01;4,24E+00;7,30E+00
53,03;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,07;1,44E+01;1,08E+01;4,24E+00;7,30E+00
53,11;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,15;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,19;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,23;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,27;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,31;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,34;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,38;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,42;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,46;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,50;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,54;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,58;1,44E+01;1,08E+01;4,24E+00;7,31E+00
53,62;1,44E+01;1,08E+01;4,24E+00;7,32E+00
53,66;1,44E+01;1,08E+01;4,24E+00;7,32E+00
53,69;1,44E+01;1,08E+01;4,24E+00;7,32E+00
53,73;1,44E+01;1,08E+01;4,24E+00;7,32E+00
53,77;1,44E+01;1,08E+01;4,24E+00;7,32E+00
53,81;1,44E+01;1,08E+01;4,24E+00;7,32E+00
53,85;1,44E+01;1,08E+01;4,24E+00;7,32E+00
53,89;1,44E+01;1,08E+01;4,25E+00;7,32E+00
53,93;1,44E+01;1,08E+01;4,25E+00;7,32E+00
53,97;1,44E+01;1,08E+01;4,25E+00;7,32E+00
54,01;1,44E+01;1,08E+01;4,25E+00;7,32E+00
54,04;1,44E+01;1,08E+01;4,25E+00;7,32E+00
54,08;1,44E+01;1,08E+01;4,25E+00;7,32E+00
54,12;1,44E+01;1,08E+01;4,25E+00;7,32E+00
54,16;1,44E+01;1,08E+01;4,25E+00;7,32E+00
54,20;1,44E+01;1,08E+01;4,25E+00;7,33E+00
54,24;1,44E+01;1,08E+01;4,25E+00;7,33E+00
54,28;1,44E+01;1,08E+01;4,25E+00;7,33E+00
54,32;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,36;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,39;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,43;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,47;1,44E+01;1,08E+01;4,25E+00;7,33E+00
54,51;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,55;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,59;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,63;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,67;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,71;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,74;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,78;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,82;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,86;1,44E+01;1,08E+01;4,25E+00;7,34E+00
54,90;1,44E+01;1,08E+01;4,26E+00;7,34E+00
54,94;1,44E+01;1,08E+01;4,26E+00;7,34E+00
54,98;1,44E+01;1,08E+01;4,26E+00;7,34E+00
55,02;1,44E+01;1,08E+01;4,26E+00;7,34E+00
55,06;1,44E+01;1,08E+01;4,26E+00;7,34E+00
55,09;1,44E+01;1,08E+01;4,26E+00;7,34E+00
55,13;1,44E+01;1,08E+01;4,26E+00;7,35E+00
55,17;1,44E+01;1,08E+01;4,26E+00;7,35E+00
55,21;1,44E+01;1,08E+01;4,26E+00;7,35E+00
55,25;1,44E+01;1,08E+01;4,26E+00;7,34E+00
55,29;1,44E+01;1,08E+01;4,26E+00;7,35E+00
55,33;1,44E+01;1,08E+01;4,26E+00;7,34E+00
55,37;1,44E+01;1,08E+01;4,26E+00;7,35E+00
55,41;1,44E+01;1,08E+01;4,27E+00;7,35E+00
55,44;1,44E+01;1,08E+01;4,27E+00;7,35E+00
55,48;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,52;1,44E+01;1,08E+01;4,27E+00;7,35E+00
55,56;1,44E+01;1,08E+01;4,26E+00;7,36E+00
55,60;1,44E+01;1,08E+01;4,26E+00;7,35E+00
55,64;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,68;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,72;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,76;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,79;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,83;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,87;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,91;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,95;1,44E+01;1,08E+01;4,27E+00;7,36E+00
55,99;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,03;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,07;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,11;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,14;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,18;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,22;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,26;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,30;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,34;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,38;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,42;1,44E+01;1,08E+01;4,27E+00;7,37E+00
56,46;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,49;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,53;1,44E+01;1,08E+01;4,27E+00;7,37E+00
56,57;1,44E+01;1,08E+01;4,27E+00;7,36E+00
56,61;1,44E+01;1,08E+01;4,27E+00;7,37E+00
56,65;1,44E+01;1,08E+01;4,27E+00;7,37E+00
56,69;1,44E+01;1,08E+01;4,27E+00;7,37E+00
56,73;1,44E+01;1,08E+01;4,27E+00;7,38E+00
56,77;1,44E+01;1,08E+01;4,27E+00;7,38E+00
56,81;1,44E+01;1,08E+01;4,28E+00;7,38E+00
56,84;1,44E+01;1,08E+01;4,27E+00;7,38E+00
56,88;1,44E+01;1,08E+01;4,27E+00;7,38E+00
56,92;1,44E+01;1,08E+01;4,27E+00;7,38E+00
56,96;1,44E+01;1,08E+01;4,27E+00;7,37E+00
57,00;1,44E+01;1,08E+01;4,28E+00;7,38E+00
57,04;1,44E+01;1,09E+01;4,28E+00;7,37E+00
57,08;1,44E+01;1,09E+01;4,28E+00;7,37E+00
57,12;1,44E+01;1,09E+01;4,28E+00;7,37E+00
57,16;1,44E+01;1,09E+01;4,28E+00;7,38E+00
57,19;1,44E+01;1,09E+01;4,28E+00;7,38E+00
58,74;1,44E+01;1,09E+01;4,28E+00;7,38E+00
58,77;1,44E+01;1,09E+01;4,28E+00;7,38E+00
58,81;1,44E+01;1,09E+01;4,28E+00;7,36E+00
58,85;1,44E+01;1,09E+01;4,28E+00;7,35E+00
58,89;1,44E+01;1,09E+01;4,28E+00;7,35E+00
58,93;1,44E+01;1,09E+01;4,28E+00;7,35E+00
58,97;1,44E+01;1,09E+01;4,28E+00;7,35E+00
59,01;1,44E+01;1,09E+01;4,28E+00;7,35E+00
59,05;1,44E+01;1,09E+01;4,28E+00;7,35E+00
59,09;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,12;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,16;1,44E+01;1,09E+01;4,28E+00;7,35E+00
59,20;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,24;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,28;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,32;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,36;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,40;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,44;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,47;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,51;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,55;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,59;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,63;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,67;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,71;1,44E+01;1,09E+01;4,28E+00;7,36E+00
59,75;1,44E+01;1,09E+01;4,28E+00;7,37E+00
59,79;1,44E+01;1,09E+01;4,28E+00;7,37E+00
59,82;1,44E+01;1,09E+01;4,28E+00;7,37E+00
59,86;1,44E+01;1,09E+01;4,28E+00;7,37E+00
59,90;1,44E+01;1,09E+01;4,28E+00;7,37E+00
59,94;1,44E+01;1,09E+01;4,28E+00;7,37E+00
59,98;1,44E+01;1,09E+01;4,28E+00;7,36E+00
60,02;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,06;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,10;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,14;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,17;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,21;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,25;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,29;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,33;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,37;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,41;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,45;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,49;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,52;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,56;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,60;1,44E+01;1,09E+01;4,29E+00;7,37E+00
60,64;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,68;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,72;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,76;1,44E+01;1,09E+01;4,29E+00;7,39E+00
60,80;1,44E+01;1,09E+01;4,29E+00;7,39E+00
60,84;1,44E+01;1,09E+01;4,29E+00;7,39E+00
60,87;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,91;1,44E+01;1,09E+01;4,29E+00;7,39E+00
60,95;1,44E+01;1,09E+01;4,29E+00;7,38E+00
60,99;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,03;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,07;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,11;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,15;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,19;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,22;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,26;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,30;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,34;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,38;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,42;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,46;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,50;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,54;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,57;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,61;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,65;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,69;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,73;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,77;1,44E+01;1,09E+01;4,29E+00;7,39E+00
61,81;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,85;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,89;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,92;1,44E+01;1,09E+01;4,30E+00;7,39E+00
61,96;1,44E+01;1,09E+01;4,30E+00;7,39E+00
62,00;1,44E+01;1,09E+01;4,30E+00;7,39E+00
62,04;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,08;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,12;1,44E+01;1,09E+01;4,30E+00;7,39E+00
62,16;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,20;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,24;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,27;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,31;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,35;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,39;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,43;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,47;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,51;1,44E+01;1,09E+01;4,30E+00;7,40E+00
62,55;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,59;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,62;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,66;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,70;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,74;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,78;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,82;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,86;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,90;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,94;1,45E+01;1,09E+01;4,30E+00;7,40E+00
62,97;1,45E+01;1,09E+01;4,30E+00;7,40E+00
63,01;1,45E+01;1,09E+01;4,30E+00;7,40E+00
63,05;1,45E+01;1,09E+01;4,30E+00;7,41E+00
63,09;1,45E+01;1,09E+01;4,30E+00;7,41E+00
63,13;1,45E+01;1,09E+01;4,30E+00;7,41E+00
63,17;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,21;1,45E+01;1,09E+01;4,31E+00;7,40E+00
63,25;1,45E+01;1,09E+01;4,31E+00;7,40E+00
63,29;1,45E+01;1,09E+01;4,30E+00;7,41E+00
63,32;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,36;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,40;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,44;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,48;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,52;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,56;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,60;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,64;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,67;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,71;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,75;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,79;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,83;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,87;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,91;1,45E+01;1,09E+01;4,32E+00;7,41E+00
63,95;1,45E+01;1,09E+01;4,31E+00;7,41E+00
63,99;1,45E+01;1,09E+01;4,31E+00;7,41E+00
64,02;1,45E+01;1,09E+01;4,31E+00;7,41E+00
64,06;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,10;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,14;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,18;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,22;1,45E+01;1,09E+01;4,32E+00;7,42E+00
64,26;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,30;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,34;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,37;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,41;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,45;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,49;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,53;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,57;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,61;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,65;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,69;1,45E+01;1,09E+01;4,32E+00;7,41E+00
64,72;1,45E+01;1,09E+01;4,32E+00;7,42E+00
64,76;1,45E+01;1,09E+01;4,32E+00;7,42E+00
64,80;1,45E+01;1,09E+01;4,32E+00;7,42E+00
64,84;1,45E+01;1,09E+01;4,32E+00;7,40E+00
64,88;1,45E+01;1,10E+01;4,32E+00;7,40E+00
64,92;1,45E+01;1,10E+01;4,32E+00;7,40E+00
64,96;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,00;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,04;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,07;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,11;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,15;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,19;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,23;1,45E+01;1,10E+01;4,33E+00;7,40E+00
65,27;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,31;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,35;1,45E+01;1,10E+01;4,33E+00;7,40E+00
65,39;1,45E+01;1,10E+01;4,33E+00;7,40E+00
65,42;1,44E+01;1,10E+01;4,32E+00;7,40E+00
65,46;1,45E+01;1,10E+01;4,32E+00;7,40E+00
65,50;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,54;1,44E+01;1,10E+01;4,32E+00;7,40E+00
65,58;1,45E+01;1,10E+01;4,32E+00;7,41E+00
65,62;1,45E+01;1,10E+01;4,32E+00;7,41E+00
65,66;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,70;1,44E+01;1,10E+01;4,32E+00;7,41E+00
65,74;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,77;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,81;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,85;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,89;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,93;1,45E+01;1,10E+01;4,33E+00;7,41E+00
65,97;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,01;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,05;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,09;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,12;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,16;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,20;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,24;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,28;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,32;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,36;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,40;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,44;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,47;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,51;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,55;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,59;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,63;1,45E+01;1,10E+01;4,33E+00;7,42E+00
66,67;1,45E+01;1,10E+01;4,33E+00;7,42E+00
66,71;1,45E+01;1,10E+01;4,33E+00;7,42E+00
66,75;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,79;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,82;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,86;1,45E+01;1,10E+01;4,33E+00;7,41E+00
66,90;1,45E+01;1,10E+01;4,33E+00;7,41E+00
